Sample ID,raw_material,RM_PSA_D50,PS_Temp,PS_Ratio,p-Si_pore_volume,p-Si_pore_size,p-Si_domain_size,p-Si_Oxygen,C_condition,Carbon,c-Oxygen,c-Si_domain_size,c-Surface_area,FCETemp,LiCap,DeliCap,FCE
CEQ11-40C-E71,S6,5,845,0.87,0.81,3.11,2.1,1,300,40.9,1,2.3,3.9,45,2206,1860,84.3
CEQ11-40C-E72,S6,5,845,0.94,0.82,3.11,2.3,0.9,300,40.8,0.9,2.5,3.9,45,2156,1818,84.3
CEQ11-40C-E73,S6,5,845,0.88,0.82,3.11,2.3,0.9,300,40.4,1,2.4,3.6,45,2209,1859,84.2
CEQ13-e74,S6,5,845,0.87,0.82,3.11,2.2,0.9,400,37.5,1,2.3,7.4,45,2320,1996,86
CEQ13-e76,S6,5,845,0.88,0.84,3.11,2.2,1,400,37,1.1,2.4,7.4,45,2413,2064,85.6
CEQ13-e77,S6,5,845,0.9,0.81,3.11,2.2,0.9,400,36.5,1.2,2.6,8.6,45,2423,2076,85.7
CEQ13-e78,S6,5,845,0.86,0.81,3.11,2.2,0.9,400,37.4,0.9,2.4,6.3,45,2330,1999,85.8
CEQ13-e79,S6,5,845,0.91,0.8,3.11,2.2,1,400,36.7,1.1,2.4,12.3,45,2249,1915,85.2
CEQ13-e80,S6,5,845,0.9,0.82,3.11,2.1,0.9,400,37.2,1,2.5,9.8,45,2275,1948,85.6
CEQ13-e81,S6,5,845,0.9,0.83,3.11,2.3,1,400,37.2,1,2.3,12.2,45,2278,1938,85.1
CEQ13-e82,S6,5,845,0.9,0.82,3.11,2.3,1,400,37.4,1.1,2.3,9.2,45,2281,1950,85.5
CEQ13-e83,S6,5,845,0.87,0.83,3.11,2.2,1,400,37.4,1,2.3,9.2,45,2286,1948,85.2
CEQ13-e84,S6,5,845,0.9,0.85,3.11,2.3,0.9,400,37.7,0.9,2.6,9.4,45,2313,1990,86.1
CEQ13-e85,S6,5,845,0.92,0.82,3.11,2.3,0.9,400,38.2,1.2,2.5,18.1,45,2263,1921,84.9
CEQ.11-E106,DS7,7,835,0.9,0.89,3.11,2.2,0.9,300,39.8,1,2.4,3.1,45,2249,1921,85.4
CEQ.11-E107,DS7,7,835,0.92,0.82,3.25,2.4,0.8,300,40.6,1.1,2.5,3.7,45,2229,1888,84.7
CEQ.11-E108,DS7,7,835,0.94,0.78,3.25,2.4,0.8,300,40.7,1.2,2.6,4.3,45,2221,1881,84.7
CEQ.11-E118,DS7,7,838,0.97,0.77,3.11,2.5,0.8,300,40.2,1,2.6,4.4,45,2245,1915,85.3
CEQ.11-E119,DS7,7,838,0.97,0.77,3.11,2.5,0.9,300,40.5,1.5,2.6,6.2,45,2258,1915,84.8
CEQ.11-E109,DS8,7,835,0.84,0.84,2.97,2,1.1,300,37.1,2.2,2.4,2.6,45,2274,1903,83.7
CEQ.11-E110,DS8,7,835,0.83,0.85,2.97,1.8,1,300,36,1.3,2.2,2.4,45,2272,1936,85.2
CEQ.11-E111,DS8,7,835,0.84,0.85,2.97,2,1.1,300,38.5,1.1,2.2,2.4,45,2214,1870,84.4
CEQ.11-E112,DS8,7,835,0.84,0.85,2.97,2,0.8,300,37.7,1.6,2.1,2.3,45,2267,1907,84.1
CEQ.11-E113,DS8,7,835,0.85,0.87,2.97,2,0.9,300,39.1,1.7,2.3,2.5,45,2250,1891,84
CEQ.11-E114,DS8,7,835,0.85,0.84,2.97,2,0.9,300,38.4,1,2.3,2.3,45,2274,1944,85.5
CEQ.11-E115,DS8,7,835,0.86,0.82,2.97,2,1,300,38.1,1.2,2.3,2.3,45,2228,1894,85
